symbol,date,price
Ganga,Jan 2000,39  
Ganga,Feb 2000,36  
Ganga,Mar 2000,43
Ganga,Apr 2000,28
Ganga,May 2000,25
Ganga,Jun 2000,32
Ganga,Jul 2000,28  
Ganga,Aug 2000,28  
Ganga,Sep 2000,24
Ganga,Oct 2000,28
Ganga,Nov 2000,23
Ganga,Dec 2000,17
Ganga,Jan 2001,24
Ganga,Feb 2001,24
Ganga,Mar 2001,22
Ganga,Apr 2001,27
Ganga,May 2001,28
Ganga,Jun 2001,29  
Ganga,Jul 2001,26
Ganga,Aug 2001,23
Ganga,Sep 2001,20
Ganga,Oct 2001,23
Ganga,Nov 2001,26
Ganga,Dec 2001,26
Ganga,Jan 2002,25
Ganga,Feb 2002,23
Ganga,Mar 2002,24
Ganga,Apr 2002,21
Ganga,May 2002,20
Ganga,Jun 2002,22
Ganga,Jul 2002,19
Ganga,Aug 2002,19
Ganga,Sep 2002,17
Ganga,Oct 2002,21
Ganga,Nov 2002,23
Ganga,Dec 2002,21
Ganga,Jan 2003,19
Ganga,Feb 2003,19
Ganga,Mar 2003,19
Ganga,Apr 2003,20
Ganga,May 2003,20
Ganga,Jun 2003,20
Ganga,Jul 2003,21
Ganga,Aug 2003,21
Ganga,Sep 2003,22
Ganga,Oct 2003,21
Ganga,Nov 2003,21  
Ganga,Dec 2003,22
Ganga,Jan 2004,22
Ganga,Feb 2004,21
Ganga,Mar 2004,20
Ganga,Apr 2004,21
Ganga,May 2004,21
Ganga,Jun 2004,23
Ganga,Jul 2004,23
Ganga,Aug 2004,22
Ganga,Sep 2004,22
Ganga,Oct 2004,23
Ganga,Nov 2004,24  
Ganga,Dec 2004,24
Ganga,Jan 2005,24
Ganga,Feb 2005,23
Ganga,Mar 2005,22
Ganga,Apr 2005,23
Ganga,May 2005,23
Ganga,Jun 2005,22
Ganga,Jul 2005,23
Ganga,Aug 2005,25
Ganga,Sep 2005,23
Ganga,Oct 2005,23
Ganga,Nov 2005,25
Ganga,Dec 2005,24
Ganga,Jan 2006,26
Ganga,Feb 2006,25
Ganga,Mar 2006,25
Ganga,Apr 2006,22
Ganga,May 2006,21
Ganga,Jun 2006,21
Ganga,Jul 2006,22
Ganga,Aug 2006,24
Ganga,Sep 2006,25
Ganga,Oct 2006,26
Ganga,Nov 2006,27
Ganga,Dec 2006,28
Ganga,Jan 2007,29
Ganga,Feb 2007,26
Ganga,Mar 2007,26
Ganga,Apr 2007,28
Ganga,May 2007,29
Ganga,Jun 2007,27
Ganga,Jul 2007,27
Ganga,Aug 2007,27
Ganga,Sep 2007,28
Ganga,Oct 2007,35
Ganga,Nov 2007,32
Ganga,Dec 2007,34
Ganga,Jan 2008,31
Ganga,Feb 2008,26
Ganga,Mar 2008,27
Ganga,Apr 2008,27
Ganga,May 2008,27
Ganga,Jun 2008,26
Ganga,Jul 2008,24
Ganga,Aug 2008,26
Ganga,Sep 2008,25
Ganga,Oct 2008,21
Ganga,Nov 2008,19
Ganga,Dec 2008,18
Ganga,Jan 2009,16
Ganga,Feb 2009,15
Ganga,Mar 2009,17
Ganga,Apr 2009,19
Ganga,May 2009,20
Ganga,Jun 2009,23
Ganga,Jul 2009,23
Ganga,Aug 2009,24
Ganga,Sep 2009,25
Ganga,Oct 2009,27
Ganga,Nov 2009,29
Ganga,Dec 2009,30
Ganga,Jan 2010,28
Ganga,Feb 2010,28
Ganga,Mar 2010,28
JAM,Jan 2000,64
JAM,Feb 2000,68
JAM,Mar 2000,67
JAM,Apr 2000,55
JAM,May 2000,48
JAM,Jun 2000,36
JAM,Jul 2000,30
JAM,Aug 2000,41
JAM,Sep 2000,38
JAM,Oct 2000,36
JAM,Nov 2000,24
JAM,Dec 2000,15
JAM,Jan 2001,17
JAM,Feb 2001,10
JAM,Mar 2001,10
JAM,Apr 2001,15
JAM,May 2001,16
JAM,Jun 2001,14
JAM,Jul 2001,12
JAM,Aug 2001,8
JAM,Sep 2001,5
JAM,Oct 2001,6
JAM,Nov 2001,11
JAM,Dec 2001,10
JAM,Jan 2002,14
JAM,Feb 2002,14
JAM,Mar 2002,14
JAM,Apr 2002,16
JAM,May 2002,18
JAM,Jun 2002,16
JAM,Jul 2002,14
JAM,Aug 2002,14
JAM,Sep 2002,15
JAM,Oct 2002,19
JAM,Nov 2002,23
JAM,Dec 2002,18
JAM,Jan 2003,21
JAM,Feb 2003,22
JAM,Mar 2003,26
JAM,Apr 2003,28
JAM,May 2003,35
JAM,Jun 2003,36
JAM,Jul 2003,41
JAM,Aug 2003,46
JAM,Sep 2003,48
JAM,Oct 2003,54
JAM,Nov 2003,53
JAM,Dec 2003,52
JAM,Jan 2004,50
JAM,Feb 2004,43
JAM,Mar 2004,43
JAM,Apr 2004,43
JAM,May 2004,48
JAM,Jun 2004,54
JAM,Jul 2004,38
JAM,Aug 2004,38
JAM,Sep 2004,40
JAM,Oct 2004,34
JAM,Nov 2004,39
JAM,Dec 2004,44
JAM,Jan 2005,43
JAM,Feb 2005,35
JAM,Mar 2005,34
JAM,Apr 2005,32
JAM,May 2005,35
JAM,Jun 2005,33
JAM,Jul 2005,45
JAM,Aug 2005,42
JAM,Sep 2005,45
JAM,Oct 2005,39
JAM,Nov 2005,48
JAM,Dec 2005,47
JAM,Jan 2006,44
JAM,Feb 2006,37
JAM,Mar 2006,36
JAM,Apr 2006,35
JAM,May 2006,34
JAM,Jun 2006,38
JAM,Jul 2006,26
JAM,Aug 2006,30
JAM,Sep 2006,32
JAM,Oct 2006,38
JAM,Nov 2006,40
JAM,Dec 2006,39
JAM,Jan 2007,37
JAM,Feb 2007,39
JAM,Mar 2007,39
JAM,Apr 2007,61
JAM,May 2007,69
JAM,Jun 2007,68
JAM,Jul 2007,78
JAM,Aug 2007,79
JAM,Sep 2007,93
JAM,Oct 2007,89
JAM,Nov 2007,90
JAM,Dec 2007,92
JAM,Jan 2008,77
JAM,Feb 2008,64
JAM,Mar 2008,71
JAM,Apr 2008,78
JAM,May 2008,81
JAM,Jun 2008,73
JAM,Jul 2008,76
JAM,Aug 2008,80
JAM,Sep 2008,72
JAM,Oct 2008,57
JAM,Nov 2008,42
JAM,Dec 2008,51
JAM,Jan 2009,58
JAM,Feb 2009,64
JAM,Mar 2009,73
JAM,Apr 2009,80
JAM,May 2009,77
JAM,Jun 2009,83
JAM,Jul 2009,85
JAM,Aug 2009,81
JAM,Sep 2009,93
JAM,Oct 2009,118
JAM,Nov 2009,135
JAM,Dec 2009,134
JAM,Jan 2010,125
JAM,Feb 2010,118
JAM,Mar 2010,128
Godav,Jan 2000,100
Godav,Feb 2000,92
Godav,Mar 2000,106
Godav,Apr 2000,99
Godav,May 2000,96
Godav,Jun 2000,98
Godav,Jul 2000,100
Godav,Aug 2000,118
Godav,Sep 2000,101
Godav,Oct 2000,88
Godav,Nov 2000,84
Godav,Dec 2000,76
Godav,Jan 2001,100
Godav,Feb 2001,89
Godav,Mar 2001,86
Godav,Apr 2001,103
Godav,May 2001,100
Godav,Jun 2001,102
Godav,Jul 2001,94
Godav,Aug 2001,90
Godav,Sep 2001,82
Godav,Oct 2001,97
Godav,Nov 2001,104
Godav,Dec 2001,109
Godav,Jan 2002,97
Godav,Feb 2002,88
Godav,Mar 2002,94
Godav,Apr 2002,75
Godav,May 2002,72
Godav,Jun 2002,65
Godav,Jul 2002,63
Godav,Aug 2002,68
Godav,Sep 2002,53
Godav,Oct 2002,71
Godav,Nov 2002,79
Godav,Dec 2002,70
Godav,Jan 2003,71
Godav,Feb 2003,71
Godav,Mar 2003,71
Godav,Apr 2003,77
Godav,May 2003,80
Godav,Jun 2003,75
Godav,Jul 2003,74
Godav,Aug 2003,75
Godav,Sep 2003,80
Godav,Oct 2003,81
Godav,Nov 2003,83
Godav,Dec 2003,85
Godav,Jan 2004,91
Godav,Feb 2004,88
Godav,Mar 2004,84
Godav,Apr 2004,81
Godav,May 2004,81
Godav,Jun 2004,81
Godav,Jul 2004,80
Godav,Aug 2004,78
Godav,Sep 2004,79
Godav,Oct 2004,82
Godav,Nov 2004,87
Godav,Dec 2004,91
Godav,Jan 2005,86
Godav,Feb 2005,85
Godav,Mar 2005,84
Godav,Apr 2005,70
Godav,May 2005,70
Godav,Jun 2005,68
Godav,Jul 2005,77
Godav,Aug 2005,75
Godav,Sep 2005,74
Godav,Oct 2005,76
Godav,Nov 2005,82
Godav,Dec 2005,76
Godav,Jan 2006,75
Godav,Feb 2006,75
Godav,Mar 2006,77
Godav,Apr 2006,77
Godav,May 2006,75
Godav,Jun 2006,72
Godav,Jul 2006,72
Godav,Aug 2006,76
Godav,Sep 2006,77
Godav,Oct 2006,87
Godav,Nov 2006,86
Godav,Dec 2006,91
Godav,Jan 2007,93
Godav,Feb 2007,88
Godav,Mar 2007,89
Godav,Apr 2007,96
Godav,May 2007,101
Godav,Jun 2007,100
Godav,Jul 2007,105
Godav,Aug 2007,111
Godav,Sep 2007,112
Godav,Oct 2007,111
Godav,Nov 2007,100
Godav,Dec 2007,103
Godav,Jan 2008,102
Godav,Feb 2008,109
Godav,Mar 2008,110
Godav,Apr 2008,116
Godav,May 2008,125
Godav,Jun 2008,114
Godav,Jul 2008,123
Godav,Aug 2008,118
Godav,Sep 2008,113
Godav,Oct 2008,90
Godav,Nov 2008,79
Godav,Dec 2008,82
Godav,Jan 2009,89
Godav,Feb 2009,90
Godav,Mar 2009,95
Godav,Apr 2009,101
Godav,May 2009,104
Godav,Jun 2009,103
Godav,Jul 2009,116
Godav,Aug 2009,117
Godav,Sep 2009,118
Godav,Oct 2009,119
Godav,Nov 2009,125
Godav,Dec 2009,130
Godav,Jan 2010,121
Godav,Feb 2010,127
Godav,Mar 2010,125
Alak,Jan 2000,25
Alak,Feb 2000,28
Alak,Mar 2000,33
Alak,Apr 2000,31
Alak,May 2000,21
Alak,Jun 2000,26
Alak,Jul 2000,25
Alak,Aug 2000,30
Alak,Sep 2000,12
Alak,Oct 2000,9
Alak,Nov 2000,8
Alak,Dec 2000,7
Alak,Jan 2001,10
Alak,Feb 2001,9
Alak,Mar 2001,11
Alak,Apr 2001,12
Alak,May 2001,9
Alak,Jun 2001,11
Alak,Jul 2001,9
Alak,Aug 2001,9
Alak,Sep 2001,7
Alak,Oct 2001,8
Alak,Nov 2001,10
Alak,Dec 2001,10
Alak,Jan 2002,12
Alak,Feb 2002,10
Alak,Mar 2002,11
Alak,Apr 2002,12
Alak,May 2002,11
Alak,Jun 2002,8
Alak,Jul 2002,7
Alak,Aug 2002,7
Alak,Sep 2002,7
Alak,Oct 2002,8
Alak,Nov 2002,7
Alak,Dec 2002,7
Alak,Jan 2003,7
Alak,Feb 2003,7
Alak,Mar 2003,7
Alak,Apr 2003,7
Alak,May 2003,8
Alak,Jun 2003,9
Alak,Jul 2003,10
Alak,Aug 2003,11
Alak,Sep 2003,10
Alak,Oct 2003,11
Alak,Nov 2003,10
Alak,Dec 2003,10
Alak,Jan 2004,11
Alak,Feb 2004,11
Alak,Mar 2004,13
Alak,Apr 2004,12
Alak,May 2004,14
Alak,Jun 2004,16
Alak,Jul 2004,16
Alak,Aug 2004,17
Alak,Sep 2004,19
Alak,Oct 2004,26
Alak,Nov 2004,33
Alak,Dec 2004,32
Alak,Jan 2005,38
Alak,Feb 2005,44
Alak,Mar 2005,41
Alak,Apr 2005,36
Alak,May 2005,39
Alak,Jun 2005,36
Alak,Jul 2005,42
Alak,Aug 2005,46
Alak,Sep 2005,53
Alak,Oct 2005,57
Alak,Nov 2005,67
Alak,Dec 2005,71
Alak,Jan 2006,75
Alak,Feb 2006,68
Alak,Mar 2006,62
Alak,Apr 2006,70
Alak,May 2006,59
Alak,Jun 2006,57
Alak,Jul 2006,67
Alak,Aug 2006,67
Alak,Sep 2006,76
Alak,Oct 2006,81
Alak,Nov 2006,91
Alak,Dec 2006,84
Alak,Jan 2007,85
Alak,Feb 2007,84
Alak,Mar 2007,92
Alak,Apr 2007,99
Alak,May 2007,121
Alak,Jun 2007,122
Alak,Jul 2007,131
Alak,Aug 2007,138
Alak,Sep 2007,153
Alak,Oct 2007,189
Alak,Nov 2007,182
Alak,Dec 2007,198
Alak,Jan 2008,135
Alak,Feb 2008,125
Alak,Mar 2008,143
Alak,Apr 2008,173
Alak,May 2008,188
Alak,Jun 2008,167
Alak,Jul 2008,158
Alak,Aug 2008,169
Alak,Sep 2008,113
Alak,Oct 2008,107
Alak,Nov 2008,92
Alak,Dec 2008,85
Alak,Jan 2009,90
Alak,Feb 2009,89
Alak,Mar 2009,105
Alak,Apr 2009,125
Alak,May 2009,135
Alak,Jun 2009,142
Alak,Jul 2009,163
Alak,Aug 2009,168
Alak,Sep 2009,185
Alak,Oct 2009,188
Alak,Nov 2009,199
Alak,Dec 2009,210
Alak,Jan 2010,192
Alak,Feb 2010,204
Alak,Mar 2010,223